ep_no"	"ep_title"	"ep_air_date"	"ep_prod_code"	"ep_desc"	"ep_guest"	"ep_season"	"ep_ytid"
1"	"Pot-Bellied Pigs"	"May 28, 1995"	"101"	"In the first episode, Ben attempts a pot-belly pig breeding scheme and Dr. Katz receives financial advice from Stanley."	"Bill Braudis and Dom Irrera"	"1"	"xjHHiAitf_Q"
2"	"Pretzelkins"	"June 4, 1995"	"102"	"Dr. Katz asks Ben to take his grandfather to the urologist while attempting to deal with his own depressed feelings."	"Ray Romano and Wendy Liebman."	"1"	"jMa4mfMjTw8"
3"	"Bully"	"June 11, 1995"	"103"	"Ben deals with his childhood stuffed bull, named Bully, being accidentally thrown out, and Dr. Katz attempts to perform at an open-mic night."	"Ray Romano and Joy Behar."	"1"	"LeZZNFhuvKc"
4"	"Cholesterol"	"June 18, 1995"	"104"	"Dr. Katz starts to train with Julie the bartender after having health concerns."	"Dave Attell and Laura Kightlinger"	"1"	"o0lEKX3hGik"
5"	"Everybody's Got a Tushy"	"June 25, 1995"	"105"	"Dr. Katz is worried about Ben's lack of social life."	"Ray Romano and Larry Miller"	"1"	"kBqPz2zjtec"
6"	"Family Car"	"July 2, 1995"	"106"	"Ben borrows the family car."	"Anthony Clark and Andy Kindler"	"1"	"CCHMuuP8BpI"
7"	""Bystander Ben""	"October 15, 1995"	"201"	"Ben witnesses a crime and appears in the newspaper."	"Dr. Katz sees Kevin Meaney and Steven Wright."
8"	""Real Estate""	"October 22, 1995"	"202"	"Ben searches for an apartment."	"Dr. Katz sees Barry Sobel and Rita Rudner."
9"	""Glasses""	"October 29, 1995"	"203"	"Dr. Katz buys a pair of glasses."	"Dr. Katz sees Dom Irrera and Emo Philips."
10"	""Office Management""	"November 6, 1995"	"204"	"Dr. Katz wonders why Laura is calling out from work and thinks she needs a morale boost."	"Dr. Katz sees Ray Romano and Carol Leifer."
11"	""Bees and SIDS""	"November 13, 1995"	"205"	"Dr. Katz is afraid of a bee in the office. Ben reads his dad's medical books and convinces himself he is ill."	"Dr. Katz sees Dom Irrera and Louis C.K."
12"	""Drinky the Drunk Guy""	"November 20, 1995"	"206"	"Ben thinks his dad has a drinking problem."	"Dr. Katz sees Ray Romano and Janeane Garofalo."
13"	""Sticky Notes""	"November 27, 1995"	"207"	"Dr. Katz thinks Laura is stealing sticky notes."	"Dr. Katz sees Garry Shandling and Judy Tenuta."
14"	""It Takes Some Getting Used To""	"March 31, 1996"	"208"	"Dr. Katz sees a new woman and Ben is uncomfortable with it."	"Dr. Katz sees Bill Braudis and Lew Schneider."
15"	""The Particle Board""	"April 7, 1996"	"209"	"Dr. Katz and Ben build a shelf for the apartment."	"Dr. Katz sees Eddie Brill and Marc Maron."
16"	""A Journey for the Betterment of People""	"April 14, 1996"	"210"	"Ben meets a prostitute."	"Dr. Katz sees Sandra Bernhard and Todd Barry."
17"	""Theory of Intelligence""	"April 21, 1996"	"211"	"Dr. Katz gives an adult education lecture."	"Dr. Katz sees Joy Behar and Brian Kiley."
18"	""Henna""	"April 28, 1996"	"212"	"Dr. Katz and Ben use a hair product called "Ultra Henna Bouquet", which turns their hair bright orange-red."	"Dr. Katz sees Kevin Meaney and Fred Stoller."
19"	""ESP""	"May 5, 1996"	"213"	"Ben is convinced he has ESP."	"Dr. Katz sees Ray Romano and Tom Agna."
20"	""Monte Carlo""	"October 6, 1996"	"301"	"Ben starts a celebrity limousine service and runs it from his dad's office."	"Dr. Katz sees Richard Jeni and Winona Ryder"
21"	""Blind Date""	"October 13, 1996"	"302"	"Julie sets Dr. Katz up on a blind date."	"Dr. Katz sees Jeffrey Ross and Cathy Ladman"
22"	""Fructose""	"October 20, 1996"	"303"	"Dr. Katz brings a bowl of fruit to the office. Ben tries to find a new hobby."	"Dr. Katz sees Marc Maron, Emo Philips and Bob Odenkirk"
23"	""Earring""	"November 3, 1996"	"304"	"Ben wants to change his image and thinks about getting an earring."	"Dr. Katz sees Jack Gallagher and Kevin Nealon"
24"	""Koppleman and Katz""	"November 10, 1996"	"305"	"Ben discovers that his dad was a hippie and had an old flame named Sharon Koppleman."	"Dr. Katz sees Kathy Griffin, David Feldman and Jeff Stilson"
25"	""Guess Who""	"November 17, 1996"	"306"	"Dr. Katz gets an urge to play the "Guess Who?" board game with Ben."	"Dr. Katz sees Jon Stewart and Ritch Shydner"
26"	""Day Planner""	"November 24, 1996"	"307"	"Dr. Katz loses his day planner and asks Ben to help him find it."	"Dr. Katz sees Rodney Dangerfield, Fred Stoller and Jake Johannsen"
27"	""Studio Guy""	"December 1, 1996"	"309"	"Dr. Katz wants to record a song that has been stuck in his head."	"Dr. Katz sees Joan Rivers, Bobcat Goldthwait, and Fred Stoller."
28"	""Mourning Person""	"January 28, 1997"	"308"	"Dr. Katz has to give a eulogy at his aunt's funeral."	"Dr. Katz sees Andy Kindler and Margaret Smith"
29"	""L'il Helper""	"February 4, 1997"	"310"	"Dr. Katz throws out his back and asks Ben to help him."	"Dr. Katz sees Ken Rogerson, David Juskow and Lizz Winstead"
30"	""Big Fat Slug""	"February 11, 1997"	"311"	"Dr. Katz wants Ben to cut down on his TV time."	"Dr. Katz sees Caroline Rhea and David Cross"
31"	""New Phone System""	"February 18, 1997"	"312"	"Dr. Katz installs a new phone system in the office."	"Dr. Katz sees David Mamet and Andy Kindler"
32"	""Reunion""	"February 25, 1997"	"313"	"Ben is invited to his high school reunion."	"Dr. Katz sees Dom Irrera and Lisa Kudrow"
